idx,gt_burn_frac,landcover_dom,iou_new,iou_old,delta_iou,f1_new,f1_old
186,0.000946044921875,2,0.033513513513332364,0.0,0.033513513513332364,0.06485355585717163,0.0
187,0.0005340576171875,2,0.0,0.0,0.0,0.0,0.0
188,0.0010986328125,2,0.028301886792341583,0.0,0.028301886792341583,0.05504587102390373,0.0
189,0.000396728515625,5,0.0,0.0,0.0,0.0,0.0
190,0.00054931640625,2,0.0,0.0,0.0,0.0,0.0
191,0.0216827392578125,11,0.10526705681894565,0.0,0.10526705681894565,0.19048257200287855,0.0
192,0.00091552734375,2,0.0,0.0,0.0,0.0,0.0
193,0.002197265625,5,0.0,0.0,0.0,0.0,0.0
194,0.0011444091796875,2,0.0,0.0,0.0,0.0,0.0
195,0.0322265625,11,0.23401889938828901,0.3969938107851592,-0.1629749113968702,0.37927927619724605,0.568354425943014
196,0.0004425048828125,2,0.004471168670976764,0.0,0.004471168670976764,0.008902532528381227,0.0
197,0.001617431640625,2,0.0,0.0,0.0,0.0,0.0
198,0.003265380859375,2,0.35294117646389106,0.0,0.35294117646389106,0.521739126219026,0.0
199,0.0004119873046875,2,0.004703013412289317,0.0,0.004703013412289317,0.009361997132860699,0.0
200,0.0105438232421875,5,0.0,0.12452694179108934,-0.12452694179108934,0.0,0.22147435700416002
201,0.0009002685546875,2,0.0,0.0,0.0,0.0,0.0
202,0.005401611328125,2,0.0,0.0,0.0,0.0,0.0
203,0.3421173095703125,2,0.5649063475543856,0.0,0.5649063475543856,0.7219682439842744,0.0
204,0.0001068115234375,2,0.0,0.0,0.0,0.0,0.0
205,0.00408935546875,2,0.022556390977330545,0.0,0.022556390977330545,0.04411764477611508,0.0
206,0.00213623046875,5,0.0,0.0,0.0,0.0,0.0
207,0.00079345703125,2,0.0,0.0,0.0,0.0,0.0
208,0.00238037109375,2,0.0,0.0,0.0,0.0,0.0
209,0.000732421875,2,0.0,0.0,0.0,0.0,0.0
210,0.3381500244140625,11,0.41144333153691276,0.396446210006371,0.01499712153054178,0.5830107655434351,0.5677930224968457
211,0.0160980224609375,2,0.3982521847673814,0.0,0.3982521847673814,0.5696428528314751,0.0
212,0.000152587890625,7,0.0,0.0,0.0,0.0,0.0
213,0.000213623046875,2,0.0,0.0,0.0,0.0,0.0
214,0.011871337890625,5,0.0,0.5617559523767727,-0.5617559523767727,0.0,0.7193901811305231
215,0.0003204345703125,2,0.003465918468388404,0.0,0.003465918468388404,0.006907894667979031,0.0
216,0.0013427734375,2,0.006792452830137416,0.0,0.006792452830137416,0.013493252140803774,0.0
217,0.0001220703125,2,0.0,0.0,0.0,0.0,0.0
