file_path,percentuale_nodata,supera_soglia
piedmont_new/fire_6855/fire_6855_2022-08-09_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_6855/fire_6855_2022-08-10_pre_landsat_1.tif,67.74%,YES
piedmont_new/fire_6855/fire_6855_2022-08-09_pre_landsat_2.tif,45.65%,YES
piedmont_new/fire_6855/fire_6855_2022-08-07_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_6511/fire_6511_2022-01-21_pre_landsat_2.tif,0.43%,NO
piedmont_new/fire_6511/fire_6511_2022-01-22_pre_landsat_1.tif,85.92%,YES
piedmont_new/fire_6511/fire_6511_2022-01-19_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6511/fire_6511_2022-01-21_pre_landsat_3.tif,100.00%,YES
piedmont_new/fire_7000/fire_7000_2023-04-21_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_7000/fire_7000_2023-04-19_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_7000/fire_7000_2023-04-21_pre_landsat_2.tif,100.00%,YES
piedmont_new/fire_7000/fire_7000_2023-04-22_pre_landsat_1.tif,99.96%,YES
piedmont_new/fire_7000/fire_7000_2023-04-24_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6547/fire_6547_2022-01-31_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6547/fire_6547_2022-01-26_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_6547/fire_6547_2022-01-29_pre_landsat_2.tif,0.03%,NO
piedmont_new/fire_6547/fire_6547_2022-01-29_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_6547/fire_6547_2022-01-30_pre_landsat_1.tif,0.04%,NO
piedmont_new/fire_6872/fire_6872_2022-10-28_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6872/fire_6872_2022-10-26_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_6872/fire_6872_2022-10-23_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_6872/fire_6872_2022-10-23_pre_sentinel_4.tif,0.00%,NO
piedmont_new/fire_6212/fire_6212_2020-01-05_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_6212/fire_6212_2020-01-10_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6212/fire_6212_2020-01-08_pre_landsat_2.tif,35.40%,YES
piedmont_new/fire_6212/fire_6212_2020-01-09_pre_landsat_1.tif,6.67%,NO
piedmont_new/fire_6212/fire_6212_2020-01-07_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_6880/fire_6880_2022-11-22_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_6880/fire_6880_2022-11-20_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_6880/fire_6880_2022-11-22_pre_landsat_1.tif,11.63%,NO
piedmont_new/fire_6880/fire_6880_2022-11-21_pre_landsat_2.tif,100.00%,YES
piedmont_new/fire_6880/fire_6880_2022-11-25_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_7039/fire_7039_2023-11-20_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_7039/fire_7039_2023-11-16_pre_landsat_2.tif,100.00%,YES
piedmont_new/fire_7039/fire_7039_2023-11-15_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_7039/fire_7039_2023-11-17_pre_sentinel_2.tif,46.84%,YES
piedmont_new/fire_7039/fire_7039_2023-11-16_pre_landsat_1.tif,100.00%,YES
piedmont_new/fire_5413/fire_5413_2017-09-17_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_5413/fire_5413_2017-09-22_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_5413/fire_5413_2017-09-19_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_5413/fire_5413_2017-09-20_pre_landsat_2.tif,2.08%,NO
piedmont_new/fire_5413/fire_5413_2017-09-21_pre_landsat_1.tif,66.24%,YES
piedmont_new/fire_6569/fire_6569_2022-01-26_pre_sentinel_3.tif,0.01%,NO
piedmont_new/fire_6569/fire_6569_2022-01-29_pre_landsat_1.tif,5.95%,NO
piedmont_new/fire_6569/fire_6569_2022-01-24_pre_sentinel_4.tif,0.01%,NO
piedmont_new/fire_6569/fire_6569_2022-01-29_pre_sentinel_2.tif,0.05%,NO
piedmont_new/fire_6569/fire_6569_2022-01-31_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6849/fire_6849_2022-08-10_pre_landsat_1.tif,0.00%,NO
piedmont_new/fire_6849/fire_6849_2022-08-06_pre_landsat_2.tif,69.36%,YES
piedmont_new/fire_6849/fire_6849_2022-08-07_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_6849/fire_6849_2022-08-06_pre_landsat_3.tif,32.53%,YES
piedmont_new/fire_6849/fire_6849_2022-08-09_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6849/fire_6849_2022-08-04_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_5263/fire_5263_2017-01-16_pre_landsat_2.tif,0.36%,NO
piedmont_new/fire_5263/fire_5263_2017-01-23_pre_landsat_1.tif,1.44%,NO
piedmont_new/fire_6433/fire_6433_2021-03-15_pre_landsat_3.tif,87.61%,YES
piedmont_new/fire_6433/fire_6433_2021-03-15_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6433/fire_6433_2021-03-16_pre_landsat_1.tif,46.04%,YES
piedmont_new/fire_6433/fire_6433_2021-03-16_pre_landsat_2.tif,24.99%,YES
piedmont_new/fire_6433/fire_6433_2021-03-10_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_6433/fire_6433_2021-03-12_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_7074/fire_7074_2023-12-18_pre_landsat_1.tif,0.07%,NO
piedmont_new/fire_7074/fire_7074_2023-12-22_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_7074/fire_7074_2023-12-18_pre_landsat_2.tif,0.02%,NO
piedmont_new/fire_7074/fire_7074_2023-12-15_pre_sentinel_4.tif,0.00%,NO
piedmont_new/fire_7074/fire_7074_2023-12-17_pre_sentinel_3.tif,0.01%,NO
piedmont_new/fire_7074/fire_7074_2023-12-20_pre_sentinel_2.tif,0.20%,NO
piedmont_new/fire_5480/fire_5480_2017-10-23_pre_landsat_1.tif,61.49%,YES
piedmont_new/fire_5480/fire_5480_2017-10-22_pre_landsat_2.tif,0.00%,NO
piedmont_new/fire_5480/fire_5480_2017-10-22_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_5480/fire_5480_2017-10-24_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_5480/fire_5480_2017-10-27_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6750/fire_6750_2022-03-17_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_6750/fire_6750_2022-03-17_pre_sentinel_4.tif,0.00%,NO
piedmont_new/fire_6750/fire_6750_2022-03-19_pre_landsat_1.tif,100.00%,YES
piedmont_new/fire_6750/fire_6750_2022-03-20_pre_sentinel_2.tif,0.00%,NO
